id,pricePath,experimentRound,cabinNo,experimentGroup
135345,1,1,0,3
135344,1,1,0,4
135343,1,1,0,5
135346,1,1,0,6
135341,2,1,0,3
135342,2,1,0,4
test1,2,1,0,3
test2,2,1,0,5
test3,3,1,0,6
135349,3,1,0,4
,3,1,0,5
,3,1,0,6
,4,1,0,3
,4,1,0,4
,4,1,0,5
,4,1,0,6
,5,1,0,3
,5,1,0,4
,5,1,0,5
,5,1,0,6
,6,1,0,3
,6,1,0,4
,6,1,0,5
,6,1,0,6
,7,1,0,3
,7,1,0,4
,7,1,0,5
,7,1,0,6
,8,1,0,3
,8,1,0,4
,8,1,0,5
,8,1,0,6
,9,1,0,3
,9,1,0,4
,9,1,0,5
,9,1,0,6
,10,1,0,3
,10,1,0,4
,10,1,0,5
,10,1,0,6
,11,1,0,3
,11,1,0,4
,11,1,0,5
,11,1,0,6
,12,1,0,3
,12,1,0,4
,12,1,0,5
,12,1,0,6
,13,1,0,3
,13,1,0,4
,13,1,0,5
,13,1,0,6
,14,1,0,3
,14,1,0,4
,14,1,0,5
,14,1,0,6
,15,1,0,3
,15,1,0,4
,15,1,0,5
,15,1,0,6
,16,1,0,3
,16,1,0,4
,16,1,0,5
,16,1,0,6
,17,1,0,3
,17,1,0,4
,17,1,0,5
,17,1,0,6
,18,1,0,3
,18,1,0,4
,18,1,0,5
,18,1,0,6
,19,1,0,3
,19,1,0,4
,19,1,0,5
,19,1,0,6
,20,1,0,3
,20,1,0,4
,20,1,0,5
,20,1,0,6
,21,1,0,3
,21,1,0,4
,21,1,0,5
,21,1,0,6
,22,1,0,3
,22,1,0,4
,22,1,0,5
,22,1,0,6
,23,1,0,3
,23,1,0,4
,23,1,0,5
,23,1,0,6
,24,1,0,3
,24,1,0,4
,24,1,0,5
,24,1,0,6
,25,1,0,3
,25,1,0,4
,25,1,0,5
,25,1,0,6
,26,2,0,3
,26,2,0,4
,26,2,0,5
,26,2,0,6
,27,2,0,3
,27,2,0,4
,27,2,0,5
,27,2,0,6
,28,2,0,3
,28,2,0,4
,28,2,0,5
,28,2,0,6
,29,2,0,3
,29,2,0,4
,29,2,0,5
,29,2,0,6
,30,2,0,3
,30,2,0,4
,30,2,0,5
,30,2,0,6
,31,2,0,3
,31,2,0,4
,31,2,0,5
,31,2,0,6
,32,2,0,3
,32,2,0,4
,32,2,0,5
,32,2,0,6
,33,2,0,3
,33,2,0,4
,33,2,0,5
,33,2,0,6
,34,2,0,3
,34,2,0,4
,34,2,0,5
,34,2,0,6
,35,2,0,3
,35,2,0,4
,35,2,0,5
,35,2,0,6
,36,2,0,3
,36,2,0,4
,36,2,0,5
,36,2,0,6
,37,2,0,3
,37,2,0,4
,37,2,0,5
,37,2,0,6
,38,2,0,3
,38,2,0,4
,38,2,0,5
,38,2,0,6
,39,2,0,3
,39,2,0,4
,39,2,0,5
,39,2,0,6
,40,2,0,3
,40,2,0,4
,40,2,0,5
,40,2,0,6
,41,2,0,3
,41,2,0,4
,41,2,0,5
,41,2,0,6
,42,2,0,3
,42,2,0,4
,42,2,0,5
,42,2,0,6
,43,2,0,3
,43,2,0,4
,43,2,0,5
,43,2,0,6
,44,2,0,3
,44,2,0,4
,44,2,0,5
,44,2,0,6
,45,2,0,3
,45,2,0,4
,45,2,0,5
,45,2,0,6
,46,2,0,3
,46,2,0,4
,46,2,0,5
,46,2,0,6
,47,2,0,3
,47,2,0,4
,47,2,0,5
,47,2,0,6
,48,2,0,3
,48,2,0,4
,48,2,0,5
,48,2,0,6
,49,2,0,3
,49,2,0,4
,49,2,0,5
,49,2,0,6
,50,2,0,3
,50,2,0,4
,50,2,0,5
,50,2,0,6
,51,3,0,3
,51,3,0,4
,51,3,0,5
,51,3,0,6
,52,3,0,3
,52,3,0,4
,52,3,0,5
,52,3,0,6
,53,3,0,3
,53,3,0,4
,53,3,0,5
,53,3,0,6
,54,3,0,3
,54,3,0,4
,54,3,0,5
,54,3,0,6
,55,3,0,3
,55,3,0,4
,55,3,0,5
,55,3,0,6
,56,3,0,3
,56,3,0,4
,56,3,0,5
,56,3,0,6
,57,3,0,3
,57,3,0,4
,57,3,0,5
,57,3,0,6
,58,3,0,3
,58,3,0,4
,58,3,0,5
,58,3,0,6
,59,3,0,3
,59,3,0,4
,59,3,0,5
,59,3,0,6
,60,3,0,3
,60,3,0,4
,60,3,0,5
,60,3,0,6
,61,3,0,3
,61,3,0,4
,61,3,0,5
,61,3,0,6
,62,3,0,3
,62,3,0,4
,62,3,0,5
,62,3,0,6
,63,3,0,3
,63,3,0,4
,63,3,0,5
,63,3,0,6
,64,3,0,3
,64,3,0,4
,64,3,0,5
,64,3,0,6
,65,3,0,3
,65,3,0,4
,65,3,0,5
,65,3,0,6
,66,3,0,3
,66,3,0,4
,66,3,0,5
,66,3,0,6
,67,3,0,3
,67,3,0,4
,67,3,0,5
,67,3,0,6
,68,3,0,3
,68,3,0,4
,68,3,0,5
,68,3,0,6
,69,3,0,3
,69,3,0,4
,69,3,0,5
,69,3,0,6
,70,3,0,3
,70,3,0,4
,70,3,0,5
,70,3,0,6
,71,3,0,3
,71,3,0,4
,71,3,0,5
,71,3,0,6
,72,3,0,3
,72,3,0,4
,72,3,0,5
,72,3,0,6
,73,3,0,3
,73,3,0,4
,73,3,0,5
,73,3,0,6
,74,3,0,3
,74,3,0,4
,74,3,0,5
,74,3,0,6
,75,3,0,3
,75,3,0,4
,75,3,0,5
,75,3,0,6
,76,4,0,3
,76,4,0,4
,76,4,0,5
,76,4,0,6
,77,4,0,3
,77,4,0,4
,77,4,0,5
,77,4,0,6
,78,4,0,3
,78,4,0,4
,78,4,0,5
,78,4,0,6
,79,4,0,3
,79,4,0,4
,79,4,0,5
,79,4,0,6
,80,4,0,3
,80,4,0,4
,80,4,0,5
,80,4,0,6
,81,4,0,3
,81,4,0,4
,81,4,0,5
,81,4,0,6
,82,4,0,3
,82,4,0,4
,82,4,0,5
,82,4,0,6
,83,4,0,3
,83,4,0,4
,83,4,0,5
,83,4,0,6
,84,4,0,3
,84,4,0,4
,84,4,0,5
,84,4,0,6
,85,4,0,3
,85,4,0,4
,85,4,0,5
,85,4,0,6
,86,4,0,3
,86,4,0,4
,86,4,0,5
,86,4,0,6
,87,4,0,3
,87,4,0,4
,87,4,0,5
,87,4,0,6
,88,4,0,3
,88,4,0,4
,88,4,0,5
,88,4,0,6
,89,4,0,3
,89,4,0,4
,89,4,0,5
,89,4,0,6
,90,4,0,3
,90,4,0,4
,90,4,0,5
,90,4,0,6
,91,4,0,3
,91,4,0,4
,91,4,0,5
,91,4,0,6
,92,4,0,3
,92,4,0,4
,92,4,0,5
,92,4,0,6
,93,4,0,3
,93,4,0,4
,93,4,0,5
,93,4,0,6
,94,4,0,3
,94,4,0,4
,94,4,0,5
,94,4,0,6
,95,4,0,3
,95,4,0,4
,95,4,0,5
,95,4,0,6
,96,4,0,3
,96,4,0,4
,96,4,0,5
,96,4,0,6
,97,4,0,3
,97,4,0,4
,97,4,0,5
,97,4,0,6
,98,4,0,3
,98,4,0,4
,98,4,0,5
,98,4,0,6
,99,4,0,3
,99,4,0,4
,99,4,0,5
,99,4,0,6
,100,4,0,3
,100,4,0,4
,100,4,0,5
,100,4,0,6